team,scorer,goals,penalty_goals,own_goals,first_goal_date,last_goal_date
France,Christopher Nkunku,2,0,0,2024-10-10,2025-10-13
Tunisia,Ferjani Sassi,2,0,0,2025-09-04,2025-10-13
Scotland,Che Adams,2,0,0,2025-09-08,2025-10-12
Iraq,Zidane Iqbal,2,0,0,2024-03-26,2025-10-11
Turkiye,İrfan Can Kahveci,2,0,0,2025-03-20,2025-10-11
Cote d'Ivoire,Oumar Diakité,2,0,0,2024-02-03,2025-10-10
Curacao,Tahith Chong,2,0,0,2025-09-09,2025-09-09
Norway,Felix Horn Myhre,2,0,0,2024-09-09,2025-09-09
Norway,Martin Ødegaard,2,0,0,2023-09-12,2025-09-09
Paraguay,Matías Galarza,2,0,0,2025-06-05,2025-09-09
Morocco,Hamza Igamane,2,0,0,2025-09-05,2025-09-08
Czechia,Lukáš Červ,2,0,0,2024-10-14,2025-09-05
Senegal,Kalidou Koulibaly,2,0,0,2022-11-29,2025-09-05
Sweden,Yasin Ayari,2,0,0,2024-10-11,2025-09-05
Switzerland,Silvan Widmer,2,0,0,2023-03-28,2025-09-05
Brazil,Bruno Guimarães,2,0,0,2022-03-29,2025-09-04
Cabo Verde,Diney,2,0,0,2024-06-11,2025-09-04
Colombia,Juan Fernando Quintero,2,0,0,2024-11-15,2025-09-04
Tunisia,Hazem Mastouri,2,0,0,2025-03-19,2025-09-04
Turkiye,Mert Müldür,2,0,0,2024-06-18,2025-09-04
USA,Chris Richards,2,0,0,2025-06-19,2025-07-06
Mexico,Alexis Vega,2,0,0,2022-01-27,2025-06-28
USA,Patrick Agyemang,2,0,0,2025-06-15,2025-06-22
Canada,Nathan Saliba,2,0,0,2025-06-17,2025-06-21
Curacao,Jeremy Antonisse,2,0,0,2025-06-10,2025-06-21
Panama,Cristian Martínez,2,0,0,2024-06-06,2025-06-16
USA,Haji Wright,2,0,0,2022-12-03,2025-06-15
Haiti,Louicius Don Deedson,2,0,0,2024-06-09,2025-06-10
Japan,Mao Hosoya,2,0,0,2023-11-21,2025-06-10
Panama,César Yanis,2,0,0,2024-07-01,2025-06-10
Saudi Arabia,Abdulrahman Al-Aboud,2,0,0,2025-06-05,2025-06-10
Panama,Fidel Escobar,2,0,0,2023-07-04,2025-06-07
Croatia,Franjo Ivanović,2,0,0,2025-06-06,2025-06-06
Czechia,Adam Hložek,2,0,0,2024-11-19,2025-06-06
Colombia,Jhon Durán,2,0,0,2024-10-15,2025-03-25
Congo DR,Fiston Mayele,2,0,0,2024-06-06,2025-03-25
Egypt,Ahmed Sayed,2,0,0,2025-03-21,2025-03-25
Qatar,Lucas Mendes,2,0,0,2024-11-14,2025-03-25
Uzbekistan,Khojimat Erkinov,2,0,0,2024-03-26,2025-03-25
Tunisia,Seifeddine Jaziri,2,0,0,2022-01-16,2025-03-24
Portugal,Francisco Trincão,2,0,0,2025-03-23,2025-03-23
Turkiye,Abdülkerim Bardakcı,2,0,0,2023-06-16,2025-03-23
Norway,Aron Dønnum,2,0,0,2023-11-19,2025-03-22
Algeria,Mohamed El Amine Amoura,2,0,0,2025-03-21,2025-03-21
Ghana,Ernest Nuamah,2,0,0,2024-06-06,2025-03-21
Ghana,Iñaki Williams,2,0,0,2023-11-17,2025-03-21
New Zealand,Sarpreet Singh,2,0,0,2024-11-15,2025-03-21
New Zealand,Tyler Bindon,2,0,0,2024-11-15,2025-03-21
Australia,Lewis Miller,2,0,0,2024-10-10,2025-03-20
Iraq,Ibrahim Bayesh,2,0,0,2024-10-15,2025-03-20
Jordan,Yazan Al-Arab,2,0,0,2024-01-29,2025-03-20
Qatar,Ahmed Alaaeldin,2,1,0,2023-11-16,2025-03-20
