date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_norm,away_team_norm,home_points,away_points,home_goal_diff,away_goal_diff
1949-05-22,Republic of Ireland,Portugal,1,0,Friendly,Dublin,Éire,False,Republic of Ireland,Portugal,3,0,1,-1
1949-05-22,Italy,Austria,3,1,Central European International Cup,Florence,Italy,False,Italy,Austria,3,0,2,-2
1949-05-26,Switzerland,Wales,4,0,Friendly,Bern,Switzerland,False,Switzerland,Wales,3,0,4,-4
1949-06-02,Sweden,Republic of Ireland,3,1,FIFA World Cup qualification,Solna,Sweden,False,Sweden,Republic of Ireland,3,0,2,-2
1949-06-04,France,Switzerland,4,2,Friendly,Colombes,France,False,France,Switzerland,3,0,2,-2
1949-06-12,Denmark,Netherlands,1,2,Friendly,Copenhagen,Denmark,False,Denmark,Netherlands,0,3,-1,1
1949-06-12,Republic of Ireland,Spain,1,4,Friendly,Dublin,Éire,False,Republic of Ireland,Spain,0,3,-3,3
1949-06-16,Finland,Netherlands,1,4,Friendly,Helsinki,Finland,False,Finland,Netherlands,0,3,-3,3
1949-06-19,France,Spain,1,5,Friendly,Colombes,France,False,France,Spain,0,3,-4,4
1949-06-19,Norway,Yugoslavia,1,3,Friendly,Oslo,Norway,False,Norway,Yugoslavia,0,3,-2,2
1949-06-19,Sweden,Hungary,2,2,Friendly,Solna,Sweden,False,Sweden,Hungary,1,1,0,0
1949-06-19,United States,Scotland,0,4,Friendly,New York,United States,False,USA,Scotland,0,3,-4,4
1949-06-26,Switzerland,Luxembourg,5,2,FIFA World Cup qualification,Zürich,Switzerland,False,Switzerland,Luxembourg,3,0,3,-3
1949-07-08,Finland,Norway,1,1,Nordic Championship,Helsinki,Finland,False,Finland,Norway,1,1,0,0
1949-07-30,Curaçao,Aruba,3,0,Friendly,Willemstad,Curaçao,False,Curacao,Aruba,3,0,3,-3
1949-08-03,El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,False,El Salvador,Panama,3,0,2,-2
1949-08-04,El Salvador,Panama,2,3,Friendly,San Salvador,El Salvador,False,El Salvador,Panama,0,3,-1,1
1949-09-04,Mexico,United States,6,0,NAFC Championship,Mexico City,Mexico,False,Mexico,USA,3,0,6,-6
1949-09-11,Mexico,Cuba,2,0,NAFC Championship,Mexico City,Mexico,False,Mexico,Cuba,3,0,2,-2
1949-09-11,Norway,Denmark,0,2,Nordic Championship,Oslo,Norway,False,Norway,Denmark,0,3,-2,2
1949-09-14,Cuba,United States,1,1,NAFC Championship,Mexico City,Mexico,True,Cuba,USA,1,1,0,0
1949-09-18,Luxembourg,Switzerland,2,3,FIFA World Cup qualification,Luxembourg,Luxembourg,False,Luxembourg,Switzerland,0,3,-1,1
1949-09-18,Mexico,United States,6,2,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,USA,3,0,4,-4
1949-09-21,England,Republic of Ireland,0,2,Friendly,Liverpool,England,False,England,Republic of Ireland,0,3,-2,2
1949-09-21,United States,Cuba,5,2,FIFA World Cup qualification,Mexico City,Mexico,True,USA,Cuba,3,0,3,-3
1949-09-25,Austria,Czechoslovakia,3,1,Central European International Cup,Vienna,Austria,False,Austria,Czechoslovakia,3,0,2,-2
1949-09-25,Mexico,Cuba,3,0,FIFA World Cup qualification,Mexico City,Mexico,False,Mexico,Cuba,3,0,3,-3
1949-10-01,Northern Ireland,Scotland,2,8,FIFA World Cup qualification,Belfast,Northern Ireland,False,Northern Ireland,Scotland,0,3,-6,6
